Game,ID
"Bootleg Sampler (Europe) (Made in EU, Made in Japan)",MK-81031 V1.000 
"Bootleg Sampler (Europe) (Made in USA)",MK-81031 V1.000 
"Bootleg Sampler (USA)",MK-81031 V1.006 
"Bootleg Sampler (USA) (15S)",MK-81031 V1.006 
"Bootleg Sampler (USA) (8S, 9S, 17S)",MK-81031 V1.006 
"Bootleg Sampler (USA) (Rev A) (1S)",MK-81031 V2.009 
"Bootleg Sampler (USA) (Rev A) (2S)",MK-81031 V2.009 
"Bottom of the 9th (USA)",T-9505H   V1.000
"Bouken Katsugeki Monomono (Japan)",T-21508G  V1.000
"Bouken Katsugeki Monomono (Japan) (Demo)",6106611   V0.101
"Brain Battle Q (Japan)",T-25701G  V1.002
"BrainDead 13 (Japan)",T-7305G   V1.000
"BrainDead 13 (USA)",T-12103H  V1.000
"Break Point (Europe) (En,Fr)",T-16408H  V1.001
"Break Point (Japan)",T-9107G   V1.001
"Break Point Tennis (USA)",T-8145H   V1.000
"BreakThru! (Japan)",T-21501G  V1.000
"Bubble Bobble also featuring Rainbow Islands (Europe)",T-8131H-50V1.000
"Bubble Bobble also featuring Rainbow Islands (USA)",T-8131H   V1.000
"Bubble Symphony (Japan)",T-19905G  V1.001
"Bug Too! (Europe)",MK-81040  V1.000
"Bug Too! (USA)",MK-81040  V1.000
"Bug Too! Motto Motto Jump Shite, Funzukechatte, Petchanko (Japan)",GS-9128   V1.000
"Bug! (Europe)",MK-81004  V1.019
"Bug! (USA)",GM-81004  V1.017
"Bug! (USA) (Demo) (1S)",MK-81030  V1.002
"Bug! (USA) (Demo) (3S)",MK-81030  V1.002
"Bug! (USA) (R)",MK-81004  V1.017
"Bug! Jump Shite, Funzukechatte, Petchanko (Japan)",GS-9063   V1.017
"Bulk Slash (Japan)",T-14310G  V1.001
"Burning Rangers (Europe)",MK-81803  V1.001
"Burning Rangers (Japan)",GS-9174   V1.003
"Burning Rangers (Japan) (Demo)",6106856   V1.003
"Burning Rangers (USA)",MK-81803  V1.001
"Bust-A-Move 2 - Arcade Edition (Europe)",T-8132H-50V1.000
"Bust-A-Move 2 - Arcade Edition (USA)",T-8132H   V1.000
"Bust-A-Move 3 (Europe)",T-8155H-50V1.000
"Bust-A-Move 3 (USA)",T-31103H  V1.001
"Can Can Bunny Extra (Japan)",T-19706G  V1.000
"Can Can Bunny Premiere (Japan) (1M)",T-19701G  V1.002
"Can Can Bunny Premiere 2 (Japan) (Disc 1)",T-19703G  V1.002
"Can Can Bunny Premiere 2 (Japan) (Disc 1) (Rev A)",T-19703G  V1.004
"Can Can Bunny Premiere 2 (Japan) (Disc 2) (Can Bani Himekuri Calendar)",T-19703G  V1.002
"Can Can Bunny Premiere 2 (Japan) (Disc 2) (Can Bani Himekuri Calendar) (Hibaihin)",T-19702G  V1.000
"Capcom Generation - Dai-1-shuu Gekitsuiou no Jidai (Japan)",T-1232G   V1.002
"Capcom Generation - Dai-2-shuu Makai to Kishi (Japan)",T-1233G   V1.003
"Capcom Generation - Dai-3-shuu Koko ni Rekishi Hajimaru (Japan)",T-1234G   V1.001
"Capcom Generation - Dai-4-shuu Kokou no Eiyuu (Japan)",T-1235G   V1.000
"Capcom Generation - Dai-5-shuu Kakutouka-tachi (Japan)",T-1236G   V1.000
"Casper (Europe) (En,Fr,De)",12512H-50 V1.003
"Casper (Japan)",T-12503G  V1.001
"Casper (USA)",12512H    V1.003
"Cat the Ripper - 13Ninme no Tanteishi (Japan)",T-35701G  V1.000
"Center Ring Boxing (USA)",T-6005H   V1.02U
"Chaos Control (Europe) (En,Fr,De)",T-15102H  V1.100
"Chaos Control (Europe) (En,Fr,De) (Beta) (1996-05-29)",T-15102H  V1.200
"Chaos Control (Japan)",T-7002G   V1.000
"Chaos Control Remix (Japan)",T-7006G   V1.000
"Chibi Maruko-chan no Taisen Puzzle-dama (Japan)",T-9507G   V1.200
"Chisato Moritaka - Watarase Bashi & Lala Sunshine (Japan) (Disc 1)",GS-9172   V1.000
"Chisato Moritaka - Watarase Bashi & Lala Sunshine (Japan) (Disc 2)",GS-9172   V1.000
"Choro Q Park (Japan)",T-10314G  V1.004
"Chou Aniki - Kyuukyoku... Otoko no Gyakushuu (Japan)",T-2503G   V1.00C
"Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 1)",T-23403G  V1.000
"Chou Jikuu Yousai Macross - Ai Oboete Imasu ka (Japan) (Disc 2)",T-23403G  V1.000
"Christmas NiGHTS into Dreams... (Europe)",610-6483  V1.000
"Christmas NiGHTS into Dreams... (Japan) (Rev A)",610-6431  V1.004
"Christmas NiGHTS into Dreams... (USA)",MK-81067  V1.001
"Cleaning Kit for Sega Saturn (USA)",T-25901H  V1.000
"Cleopatra Fortune (Japan)",T-1108G   V1.002
"ClockWerx (Japan)",T-22302G  V3.000
"Clockwork Knight - Pepperouchau no Daibouken Gekan (Japan) (2M)",GS-9029   V1.001
"Clockwork Knight - Pepperouchau no Daibouken Joukan (Japan)",GS-9004   V1.000
"Clockwork Knight - Pepperouchau no Fukubukuro (Japan)",GS-9074   V1.000
"Clockwork Knight - Pepperouchau's Adventure (Europe)",MK-81007  V1.000
"Clockwork Knight - Pepperouchau's Adventure (USA)",MK-81007  V1.002
"Clockwork Knight 2 - Pepperouchau's Adventure (Europe) (2S)",MK-81021  V1.001
"Clockwork Knight 2 - Pepperouchau's Adventure (Europe) (3S)",MK-81021  V1.001
